title,genres
All American: Homecoming,"['drama', 'sport']"
All For Love,"['drama', 'romance']"
All Hail,"['comedy', 'drama']"
All My Life,"['drama', 'romance']"
All of Us Are Dead,"['action', 'drama', 'fantasy', 'horror', 'sci-fi', 'thriller']"
All the Money in the World,"['biography', 'crime', 'drama', 'mystery', 'thriller']"
Allied,"['action', 'drama', 'romance', 'thriller', 'war']"
Almost Happy,"['horror', 'reality-tv']"
Aloha,"['comedy', 'drama', 'romance']"
Alone,"['drama', 'horror', 'mystery', 'thriller']"
Aloners,['drama']
Along Came a Spider,"['drama', 'thriller']"
Along for the Ride,"['drama', 'romance']"
Along with the Gods: The Last 49 Days,"['action', 'adventure', 'drama', 'fantasy', 'thriller']"
Along with the Gods: The Two Worlds,"['action', 'adventure', 'drama', 'fantasy', 'thriller']"
Alpha,"['short', 'drama']"
Alter Ego,"['crime', 'thriller']"
Alvin and the Chipmunks: Chipwrecked,"['animation', 'adventure', 'comedy', 'family', 'fantasy', 'music', 'musical']"
Alvin and the Chipmunks: The Squeakquel,"['animation', 'adventure', 'comedy', 'drama', 'family', 'fantasy', 'music', 'musical']"
Amandla,"['crime', 'drama']"
American Assassin,"['crime', 'drama', 'thriller']"
American Gangster,"['short', 'biography', 'crime', 'drama']"
American Girl,['drama']
American Made,"['short', 'drama']"
American Outlaws,"['action', 'western']"
American Reunion,['comedy']
American Siege,"['action', 'thriller']"
American Sniper,"['action', 'biography', 'drama', 'war']"
American Underdog: The Kurt Warner Story,['talk-show']
Amina,"['action', 'adventure', 'biography', 'drama', 'history']"
Ammar,['horror']
Amores perros,"['drama', 'thriller']"
An Almost Ordinary Summer,"['comedy', 'romance']"
An Almost Perfect Scam,"['comedy', 'romance']"
An Astrological Guide for Broken Hearts,"['comedy', 'romance']"
An Unfinished Life,"['drama', 'family', 'romance']"
Anacondas: The Hunt for the Blood Orchid,"['action', 'adventure', 'horror', 'thriller']"
Anarchist from Colony,"['biography', 'drama']"
Anatomy of a Scandal,"['drama', 'thriller']"
Anchorman: The Legend of Ron Burgundy,['comedy']
Anek,"['action', 'drama', 'sport', 'thriller']"
Angel Eyes,['short']
Angel Has Fallen,"['action', 'thriller']"
Anger Management,"['animation', 'short', 'action']"
Angèle,"['documentary', 'biography', 'music']"
Animal Kingdom,"['crime', 'drama']"
Animals on the Loose: A You vs. Wild Movie,"['adventure', 'reality-tv']"
Ankahi Kahaniya,"['drama', 'romance']"
Anna,"['action', 'thriller']"
Annaatthe,"['action', 'comedy', 'drama']"
